"run","order_index","D","S","R","rows_per_worker","O_i","B_i","bytes_per_worker","mode","variant","S_tile","iterations","timed_repetitions","warmup","worker_count","worker_list","affinity","affinity_error","affinity_succeeded","timed_repetitions_exact","avx2_supported","kernel_used","eviction_bytes","eviction_checksum","elapsed_seconds","mac_total","mac_per_second","checksum"
"10","1","512","1","2","128,128,128,128","128,128,128,128","65536,65536,65536,65536","65536,65536,65536,65536","fused","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","8.28E-05","4194304","50655800000","18446744073692835539"
"10","2","512","1","2","128,128,128,128","128,128,128,128","65536,65536,65536,65536","65536,65536,65536,65536","repeat","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","8.15E-05","4194304","51463900000","18446744073692835539"
"1","1","512","1","4","128,128,128,128","128,128,128,128","65536,65536,65536,65536","65536,65536,65536,65536","repeat","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0004301","8388608","19503900000","18446744073692835539"
"1","2","512","1","4","128,128,128,128","128,128,128,128","65536,65536,65536,65536","65536,65536,65536,65536","fused","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.000378","8388608","22192100000","18446744073692835539"
"2","1","512","1","4","128,128,128,128","128,128,128,128","65536,65536,65536,65536","65536,65536,65536,65536","fused","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0001538","8388608","54542300000","18446744073692835539"
"2","2","512","1","4","128,128,128,128","128,128,128,128","65536,65536,65536,65536","65536,65536,65536,65536","repeat","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0001611","8388608","52070800000","18446744073692835539"
"3","1","512","1","4","128,128,128,128","128,128,128,128","65536,65536,65536,65536","65536,65536,65536,65536","repeat","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0001748","8388608","47989700000","18446744073692835539"
"3","2","512","1","4","128,128,128,128","128,128,128,128","65536,65536,65536,65536","65536,65536,65536,65536","fused","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0001518","8388608","55260900000","18446744073692835539"
"4","1","512","1","4","128,128,128,128","128,128,128,128","65536,65536,65536,65536","65536,65536,65536,65536","fused","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0003701","8388608","22665800000","18446744073692835539"
"4","2","512","1","4","128,128,128,128","128,128,128,128","65536,65536,65536,65536","65536,65536,65536,65536","repeat","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0004868","8388608","17232100000","18446744073692835539"
"5","1","512","1","4","128,128,128,128","128,128,128,128","65536,65536,65536,65536","65536,65536,65536,65536","repeat","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0006762","8388608","12405500000","18446744073692835539"
"5","2","512","1","4","128,128,128,128","128,128,128,128","65536,65536,65536,65536","65536,65536,65536,65536","fused","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0001916","8388608","43781900000","18446744073692835539"
"6","1","512","1","4","128,128,128,128","128,128,128,128","65536,65536,65536,65536","65536,65536,65536,65536","fused","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0003561","8388608","23556900000","18446744073692835539"
"6","2","512","1","4","128,128,128,128","128,128,128,128","65536,65536,65536,65536","65536,65536,65536,65536","repeat","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0001787","8388608","46942400000","18446744073692835539"
"7","1","512","1","4","128,128,128,128","128,128,128,128","65536,65536,65536,65536","65536,65536,65536,65536","repeat","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0012433","8388608","6747050000","18446744073692835539"
"7","2","512","1","4","128,128,128,128","128,128,128,128","65536,65536,65536,65536","65536,65536,65536,65536","fused","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.000331","8388608","25343200000","18446744073692835539"
"8","1","512","1","4","128,128,128,128","128,128,128,128","65536,65536,65536,65536","65536,65536,65536,65536","fused","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0001568","8388608","53498800000","18446744073692835539"
"8","2","512","1","4","128,128,128,128","128,128,128,128","65536,65536,65536,65536","65536,65536,65536,65536","repeat","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0003955","8388608","21210100000","18446744073692835539"
"9","1","512","1","4","128,128,128,128","128,128,128,128","65536,65536,65536,65536","65536,65536,65536,65536","repeat","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0001582","8388608","53025300000","18446744073692835539"
"9","2","512","1","4","128,128,128,128","128,128,128,128","65536,65536,65536,65536","65536,65536,65536,65536","fused","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0006692","8388608","12535300000","18446744073692835539"
"10","1","512","1","4","128,128,128,128","128,128,128,128","65536,65536,65536,65536","65536,65536,65536,65536","fused","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0001605","8388608","52265500000","18446744073692835539"
"10","2","512","1","4","128,128,128,128","128,128,128,128","65536,65536,65536,65536","65536,65536,65536,65536","repeat","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0001608","8388608","52168000000","18446744073692835539"
"1","1","512","1","8","128,128,128,128","128,128,128,128","65536,65536,65536,65536","65536,65536,65536,65536","repeat","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0003414","16777216","49142400000","18446744073692835539"
"1","2","512","1","8","128,128,128,128","128,128,128,128","65536,65536,65536,65536","65536,65536,65536,65536","fused","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0003112","16777216","53911400000","18446744073692835539"
"2","1","512","1","8","128,128,128,128","128,128,128,128","65536,65536,65536,65536","65536,65536,65536,65536","fused","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0003098","16777216","54155000000","18446744073692835539"
"2","2","512","1","8","128,128,128,128","128,128,128,128","65536,65536,65536,65536","65536,65536,65536,65536","repeat","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0003303","16777216","50793900000","18446744073692835539"
"3","1","512","1","8","128,128,128,128","128,128,128,128","65536,65536,65536,65536","65536,65536,65536,65536","repeat","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0003886","16777216","43173500000","18446744073692835539"
"3","2","512","1","8","128,128,128,128","128,128,128,128","65536,65536,65536,65536","65536,65536,65536,65536","fused","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0005766","16777216","29096800000","18446744073692835539"
"4","1","512","1","8","128,128,128,128","128,128,128,128","65536,65536,65536,65536","65536,65536,65536,65536","fused","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0003116","16777216","53842200000","18446744073692835539"
"4","2","512","1","8","128,128,128,128","128,128,128,128","65536,65536,65536,65536","65536,65536,65536,65536","repeat","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0004457","16777216","37642400000","18446744073692835539"
"5","1","512","1","8","128,128,128,128","128,128,128,128","65536,65536,65536,65536","65536,65536,65536,65536","repeat","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0004116","16777216","40761000000","18446744073692835539"
"5","2","512","1","8","128,128,128,128","128,128,128,128","65536,65536,65536,65536","65536,65536,65536,65536","fused","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0003148","16777216","53294800000","18446744073692835539"
"6","1","512","1","8","128,128,128,128","128,128,128,128","65536,65536,65536,65536","65536,65536,65536,65536","fused","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0003178","16777216","52791700000","18446744073692835539"
"6","2","512","1","8","128,128,128,128","128,128,128,128","65536,65536,65536,65536","65536,65536,65536,65536","repeat","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0007567","16777216","22171600000","18446744073692835539"
"7","1","512","1","8","128,128,128,128","128,128,128,128","65536,65536,65536,65536","65536,65536,65536,65536","repeat","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0003203","16777216","52379700000","18446744073692835539"
"7","2","512","1","8","128,128,128,128","128,128,128,128","65536,65536,65536,65536","65536,65536,65536,65536","fused","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0003204","16777216","52363300000","18446744073692835539"
"8","1","512","1","8","128,128,128,128","128,128,128,128","65536,65536,65536,65536","65536,65536,65536,65536","fused","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.000308","16777216","54471500000","18446744073692835539"
"8","2","512","1","8","128,128,128,128","128,128,128,128","65536,65536,65536,65536","65536,65536,65536,65536","repeat","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0003253","16777216","51574600000","18446744073692835539"
"9","1","512","1","8","128,128,128,128","128,128,128,128","65536,65536,65536,65536","65536,65536,65536,65536","repeat","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0003594","16777216","46681200000","18446744073692835539"
"9","2","512","1","8","128,128,128,128","128,128,128,128","65536,65536,65536,65536","65536,65536,65536,65536","fused","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0005989","16777216","28013400000","18446744073692835539"
"10","1","512","1","8","128,128,128,128","128,128,128,128","65536,65536,65536,65536","65536,65536,65536,65536","fused","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0006942","16777216","24167700000","18446744073692835539"
"10","2","512","1","8","128,128,128,128","128,128,128,128","65536,65536,65536,65536","65536,65536,65536,65536","repeat","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0003432","16777216","48884700000","18446744073692835539"
"1","1","512","1","16","128,128,128,128","128,128,128,128","65536,65536,65536,65536","65536,65536,65536,65536","repeat","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0009981","33554432","33618300000","18446744073692835539"
"1","2","512","1","16","128,128,128,128","128,128,128,128","65536,65536,65536,65536","65536,65536,65536,65536","fused","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0006077","33554432","55215500000","18446744073692835539"
"2","1","512","1","16","128,128,128,128","128,128,128,128","65536,65536,65536,65536","65536,65536,65536,65536","fused","A","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0006653","33554432","50435000000","18446744073692835539"
