project_version,gate,D,S,R,total_rows,kernel,variant,transition,timing_scope,slot_tile,seed,phase_profile,require_affinity,projection_shift,state_multiplier,output_multiplier,final_shift,target_rms,epsilon,warmup_repetitions,timed_repetitions,sequences_per_repetition,worker_count,allow_smt_siblings,cpus,physical_cores,rows,base_weight_bytes,allocated_weight_bytes,logical_weight_load_bytes,one_pass_weight_bytes,distinct_weight_storage_bytes,elapsed_seconds,mac_total,mac_per_second,logical_weight_load_gb_per_second,one_pass_weight_gb_per_second,output_checksum,state_checksum,round_sink,weight_hash_signature,clone_hashes_equal,clone_addresses_distinct,all_affinity_succeeded,clipped_cells,transition_cells,worker_compute_seconds,worker_transition_seconds,worker_sync_seconds,worker_cold_seconds,worker_affinity_errors,valid,error,batch_repeat,variant_order
0.4.1,t0m,1472,1,4,1472,avx2-repeat,shared,frozen,full-repetition,4,3221342974,false,true,12,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,2166784,34668544,34668544,2166784,0.00043760000000000001,34668544,79224277879.341858,79.224277879341855,79.224277879341855,1930731594294032454,9927959260608650301,12536859496570096588,11255046554403909569,false,false,true,0,0,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",1,21
0.4.1,t0m,1472,1,4,1472,avx2-fused,shared,frozen,full-repetition,4,3221342974,false,true,12,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,2166784,34668544,34668544,2166784,0.00039169999999999998,34668544,88507898902.221085,88.507898902221086,88.507898902221086,1930731594294032454,9927959260608650301,12536859496570096588,11255046554403909569,false,false,true,0,0,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",1,22
0.4.1,t0m,1472,1,4,1472,avx2-repeat,clone,frozen,full-repetition,4,3221342974,false,true,12,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,8667136,34668544,34668544,8667136,0.00030309999999999999,34668544,114379887825.80006,114.37988782580007,114.37988782580007,1930731594294032454,9927959260608650301,12536859496570096588,11255046554403909569,true,true,true,0,0,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",1,23
0.4.1,t0m,1472,1,4,1472,avx2-fused,clone,frozen,full-repetition,4,3221342974,false,true,12,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,8667136,34668544,34668544,8667136,0.00029559999999999998,34668544,117281948579.16104,117.28194857916104,117.28194857916104,1930731594294032454,9927959260608650301,12536859496570096588,11255046554403909569,true,true,true,0,0,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",1,24
0.4.1,t0m,1472,16,8,1472,avx2-fused,clone,frozen,full-repetition,4,3221342974,false,true,12,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,17334272,277348352,69337088,17334272,0.0054583000000000001,1109393408,203248888481.76172,50.812222120440431,12.703055530110108,3440678550481229109,151263660427993466,13801644200311732869,11255046554403909569,true,true,true,0,0,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",2,1
0.4.1,t0m,1472,16,8,1472,avx2-repeat,clone,frozen,full-repetition,4,3221342974,false,true,12,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,17334272,1109393408,69337088,17334272,0.0092317000000000007,1109393408,120172168506.34227,120.17216850634227,7.5107605316463921,3440678550481229109,151263660427993466,13801644200311732869,11255046554403909569,true,true,true,0,0,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",2,2
0.4.1,t0m,1472,16,8,1472,avx2-fused,shared,frozen,full-repetition,4,3221342974,false,true,12,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,2166784,277348352,69337088,2166784,0.0048655,1109393408,228012210050.35452,57.003052512588631,14.250763128147158,3440678550481229109,151263660427993466,13801644200311732869,11255046554403909569,false,false,true,0,0,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",2,3
0.4.1,t0m,1472,16,8,1472,avx2-repeat,shared,frozen,full-repetition,4,3221342974,false,true,12,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,2166784,1109393408,69337088,2166784,0.010900099999999999,1109393408,101778277997.44957,101.77827799744956,6.3611423748405977,3440678550481229109,151263660427993466,13801644200311732869,11255046554403909569,false,false,true,0,0,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",2,4
0.4.1,t0m,1472,1,8,1472,avx2-fused,clone,frozen,full-repetition,4,3221342974,false,true,12,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,17334272,69337088,69337088,17334272,0.0014839,69337088,46726253790.686707,46.726253790686705,46.726253790686705,1930731594294032454,9927959260608650301,12288815033314867580,11255046554403909569,true,true,true,0,0,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",2,5
0.4.1,t0m,1472,1,8,1472,avx2-repeat,clone,frozen,full-repetition,4,3221342974,false,true,12,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,17334272,69337088,69337088,17334272,0.0012867,69337088,53887532447.345924,53.887532447345926,53.887532447345926,1930731594294032454,9927959260608650301,12288815033314867580,11255046554403909569,true,true,true,0,0,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",2,6
