"campaign","campaign_repeat","invocation","D","S","R","O_i","B_i","rows_per_worker","bytes_per_worker","mode","variant","S_tile","iterations","timed_repetitions","warmup","worker_count","worker_list","affinity","affinity_error","affinity_succeeded","timed_repetitions_exact","avx2_supported","kernel_used","eviction_bytes","eviction_checksum","elapsed_seconds","mac_total","mac_per_second","checksum"
"pilot","3","36","512","8","16","1024,1024,1024,1024","8388608,8388608,8388608,8388608","1024,1024,1024,1024","8388608,8388608,8388608,8388608","repeat","B","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0404468","1342177280","3.31838e+10","18446744071836486043"
"main","1","37","512","1","1","768,768,768,768","393216,393216,393216,393216","768,768,768,768","393216,393216,393216,393216","fused","A","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0009731","7864320","8.08172e+09","225443989"
"main","1","38","512","1","1","768,768,768,768","393216,393216,393216,393216","768,768,768,768","393216,393216,393216,393216","fused","B","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0018191","7864320","4.32319e+09","225443989"
"main","1","39","512","1","1","768,768,768,768","393216,393216,393216,393216","768,768,768,768","393216,393216,393216,393216","repeat","A","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0005002","7864320","1.57224e+10","225443989"
"main","1","40","512","1","1","768,768,768,768","393216,393216,393216,393216","768,768,768,768","393216,393216,393216,393216","repeat","B","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0007534","7864320","1.04384e+10","225443989"
"main","1","41","512","1","2","768,768,768,768","393216,393216,393216,393216","768,768,768,768","393216,393216,393216,393216","fused","A","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0042267","15728640","3.72126e+09","225443989"
"main","1","42","512","1","2","768,768,768,768","786432,786432,786432,786432","768,768,768,768","786432,786432,786432,786432","fused","B","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0012848","15728640","1.22421e+10","426046714"
"main","1","43","512","1","2","768,768,768,768","393216,393216,393216,393216","768,768,768,768","393216,393216,393216,393216","repeat","A","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0005248","15728640","2.99707e+10","225443989"
"main","1","44","512","1","2","768,768,768,768","786432,786432,786432,786432","768,768,768,768","786432,786432,786432,786432","repeat","B","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0009369","15728640","1.6788e+10","426046714"
"main","1","45","512","1","4","768,768,768,768","393216,393216,393216,393216","768,768,768,768","393216,393216,393216,393216","fused","A","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0037133","31457280","8.47152e+09","225443989"
"main","1","46","512","1","4","768,768,768,768","1572864,1572864,1572864,1572864","768,768,768,768","1572864,1572864,1572864,1572864","fused","B","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0024148","31457280","1.30269e+10","18446744073504481505"
"main","1","47","512","1","4","768,768,768,768","393216,393216,393216,393216","768,768,768,768","393216,393216,393216,393216","repeat","A","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0017142","31457280","1.8351e+10","225443989"
"main","1","48","512","1","4","768,768,768,768","1572864,1572864,1572864,1572864","768,768,768,768","1572864,1572864,1572864,1572864","repeat","B","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0016157","31457280","1.94698e+10","18446744073504481505"
"main","1","49","512","1","8","768,768,768,768","393216,393216,393216,393216","768,768,768,768","393216,393216,393216,393216","fused","A","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0062621","62914560","1.00469e+10","225443989"
"main","1","50","512","1","8","768,768,768,768","3145728,3145728,3145728,3145728","768,768,768,768","3145728,3145728,3145728,3145728","fused","B","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0055803","62914560","1.12744e+10","18446744073264054763"
