"campaign","target_kib","S","R","mode","variant","tile","n","mean","median","min","max","population_sd","checksum","checksum_deterministic","checksum_values"
"main","768","1","4","fused","A","","10","42601110000","39807350000","33141300000","55486300000","8329063065.12923","18446744073656903484","True","18446744073656903484"
"main","640","8","16","repeat","A","","10","41659350000","40450000000","37725200000","50382900000","3414751979.3537","4048733537","True","4048733537"
"main","640","16","2","repeat","B","","10","40489520000","40193650000","18747000000","53055500000","9100477306.1417","7219042041","True","7219042041"
"main","640","16","16","fused","B","","10","97939160000","103055500000","62169900000","115929000000","17579949362.6233","18446744038591392343","True","18446744038591392343"
"main","384","8","4","fused","A","","10","112832630000","116338500000","76189400000","130902000000","18850826273.9886","18446744072594251943","True","18446744072594251943"
"main","768","2","8","fused","A","","10","53178780000","57667700000","15430500000","62432700000","13132654301.6863","1144888752","True","1144888752"
"main","640","2","1","fused","A","","10","50956410000","50652800000","33874200000","69998400000","8885324859.72798","1137017487","True","1137017487"
"main","640","2","1","fused","B","","10","51461700000","49343000000","46608600000","68244500000","5886270718.03532","1137017487","True","1137017487"
"main","640","4","8","fused","A","","10","109657940000","101464000000","88656900000","134438000000","18380524019.69","2920336307","True","2920336307"
"main","640","1","2","fused","A","","10","29854038300","34080350000","947683000","38657200000","10641927975.8877","158409371","True","158409371"
"main","640","8","1","repeat","A","","10","35952260000","34041450000","29133700000","46590400000","5609954741.92083","4048733537","True","4048733537"
"main","640","1","2","fused","B","","10","30936202800","31464350000","693828000","51596800000","13080730527.4067","622906971","True","622906971"
"main","768","4","1","repeat","A","","10","47706120000","52277050000","32494000000","55085500000","7620763536.91676","3595600930","True","3595600930"
"main","384","1","4","fused","A","","10","33887420000","33716350000","20546000000","43479300000","6985049002.5196","169863235","True","169863235"
"main","640","4","4","fused","A","","10","88188500000","92081200000","71390900000","101425000000","9988341856.68472","2920336307","True","2920336307"
"main","768","2","4","repeat","B","","10","33202680000","32226850000","24273800000","43451200000","4890887646.38895","601834841","True","601834841"
"main","384","2","4","fused","B","","10","44935990000","47573800000","18841600000","65536000000","13745456574.4067","18446744073690630151","True","18446744073690630151"
"main","768","1","16","repeat","B","","10","32220350000","32313450000","17015600000","39411700000","6235751444.25273","18446744072675525801","True","18446744072675525801"
"main","768","8","4","repeat","A","","10","40944020000","41617700000","19905100000","55877500000","8714845514.8442","5665126491","True","5665126491"
"main","384","2","4","fused","A","","10","41447874000","44594450000","3513640000","65255600000","18794630748.6496","521725446","True","521725446"
"main","512","4","4","repeat","B","","10","41767220000","41110350000","33368400000","52707800000","5659812168.75613","1695278401","True","1695278401"
"main","512","16","16","fused","B","","10","105281440000","104652000000","98926400000","113437000000","4032875602.14793","18446744061171816081","True","18446744061171816081"
"main","512","1","16","fused","A","","10","34658800000","34008200000","20188400000","49472100000","8718859184.66401","81541731","True","81541731"
"main","768","4","1","fused","A","","10","103146670000","100776150000","75806400000","138179000000","15802998384.8034","3595600930","True","3595600930"
"main","384","16","2","fused","B","","10","113534940000","112763500000","84774400000","134919000000","14228471816.4812","5428362669","True","5428362669"
"main","512","2","2","fused","B","","10","55404670000","56617400000","34832800000","68096300000","10025890624.8822","1102025959","True","1102025959"
"main","640","8","8","fused","B","","10","104261480000","104653000000","76824000000","130490000000","17087150549.8606","18446744065691327075","True","18446744065691327075"
"main","512","2","1","fused","A","","10","55987200000","53416400000","46942400000","69399000000","7262953935.55542","201861269","True","201861269"
"main","512","2","8","fused","B","","10","47462720000","47549900000","18465700000","67248400000","12654454537.4979","18446744073179169522","True","18446744073179169522"
"main","640","16","2","repeat","A","","10","41093030000","41875750000","33652000000","48402000000","5034220964.36976","18446744064341133394","True","18446744064341133394"
"main","384","2","16","repeat","A","","10","36368440000","32926900000","27411000000","52248500000","7706854313.68726","521725446","True","521725446"
"main","768","16","1","fused","B","","10","113502570000","108247500000","93416500000","137923000000","15887391310.2214","18446744072594158984","True","18446744072594158984"
"main","768","8","8","fused","A","","10","94659490000","104093000000","40265700000","114872000000","26659620014.0381","5665126491","True","5665126491"
"main","512","2","16","fused","A","","10","49754680000","50768250000","17843700000","67387700000","13232932970.4189","201861269","True","201861269"
"main","768","16","1","fused","A","","10","99268890000","111590000000","24979100000","136312000000","38755087347.249","18446744072594158984","True","18446744072594158984"
"main","768","16","1","repeat","A","","10","40397920000","38844550000","34913700000","55732100000","5755495435.28618","18446744072594158984","True","18446744072594158984"
"main","768","1","8","fused","B","","10","29951750000","30208250000","21764100000","37958200000","4271376873.6205","18446744072251431697","True","18446744072251431697"
"main","512","2","16","repeat","B","","10","32302620000","34348500000","14599000000","45034200000","8733214528.88912","18446744073452478056","True","18446744073452478056"
"main","512","1","8","repeat","B","","10","32456170000","32813250000","16354300000","42618300000","8277077194.28181","18446744072899154372","True","18446744072899154372"
"main","768","1","1","repeat","A","","10","33980957000","36840150000","6917870000","43188300000","9547988906.19595","18446744073656903484","True","18446744073656903484"
"main","384","4","2","repeat","B","","10","34416740000","34919950000","17251900000","45781000000","7092906201.15619","18446744072929194411","True","18446744072929194411"
"main","512","2","2","repeat","A","","10","38011160000","36617500000","31558400000","52717100000","5498697763.32542","201861269","True","201861269"
"main","768","1","4","repeat","A","","10","36134130000","33447650000","25693200000","51241200000","7114586720.96279","18446744073656903484","True","18446744073656903484"
"main","768","16","2","fused","B","","10","95633440000","96425400000","40639000000","133814000000","23841675967.1043","7691493228","True","7691493228"
"main","768","8","1","repeat","A","","10","44496520000","42028150000","37598100000","53747300000","5213215419.45084","5665126491","True","5665126491"
"main","512","1","2","fused","B","","10","38080290000","35890850000","25505000000","53244100000","8873946675.68495","764099066","True","764099066"
"main","384","16","1","fused","A","","10","101359080000","101206000000","74828700000","135073000000","19967194069.1125","18446744058463905399","True","18446744058463905399"
"main","640","1","4","repeat","B","","10","32231970000","34839800000","12464900000","42012400000","8211769157.50193","18446744073337532149","True","18446744073337532149"
"main","768","2","16","repeat","A","","10","35982960000","37432150000","16736200000","49507700000","9641940194.91928","1144888752","True","1144888752"
"main","768","2","2","repeat","A","","10","39758170000","37258650000","31772000000","54447900000","7648773013.24206","1144888752","True","1144888752"
"main","384","4","4","fused","A","","10","75805951000","83998400000","7303310000","134487000000","34801045582.1547","1603313223","True","1603313223"
"main","512","1","1","repeat","A","","10","31171960000","31173250000","27934100000","35076800000","2217603915.58096","81541731","True","81541731"
"main","768","8","8","repeat","A","","10","40756800000","40497650000","38276700000","44509500000","1906755947.67658","5665126491","True","5665126491"
"main","640","16","4","fused","B","","10","114563400000","109045000000","102129000000","134970000000","11815083827.0408","9428267675","True","9428267675"
"main","640","4","8","fused","B","","10","102492500000","99760550000","69651100000","127545000000","19635598969.5756","2865704319","True","2865704319"
"main","768","16","16","repeat","B","","10","36095630000","37742700000","26227900000","43770200000","5022053540.94319","18446744037214545642","True","18446744037214545642"
"main","768","16","1","repeat","B","","10","38380590000","41131550000","11108000000","45059700000","9362690133.76498","18446744072594158984","True","18446744072594158984"
"main","640","8","1","fused","A","","10","93682080000","85622750000","77986400000","133907000000","17098571010.5728","4048733537","True","4048733537"
"main","512","16","1","fused","A","","10","103953400000","107725000000","81690600000","111783000000","9355355248.8401","18446744061803098170","True","18446744061803098170"
"main","384","4","1","repeat","A","","10","36544270000","38444400000","11530200000","46354400000","8818828891.64429","1603313223","True","1603313223"
"main","640","8","1","fused","B","","10","90468150000","86766650000","77639900000","110275000000","11858506849.7893","4048733537","True","4048733537"
"main","384","4","2","fused","B","","10","67855234000","75780700000","3063510000","112310000000","34519024903.0262","18446744072929194411","True","18446744072929194411"
"main","512","1","8","fused","B","","10","36853110000","38376300000","17319500000","49122600000","9964813444.86188","18446744072899154372","True","18446744072899154372"
"main","384","4","1","repeat","B","","10","38356380000","37921800000","30815900000","54625200000","5985509187.99729","1603313223","True","1603313223"
"main","384","8","1","repeat","B","","10","37453420000","38868050000","32152600000","40599900000","2751298431.94082","18446744072594251943","True","18446744072594251943"
"main","640","16","8","repeat","A","","10","39708120000","39565800000","33042900000","47641400000","3943402731.34764","18446744064341133394","True","18446744064341133394"
"main","384","8","4","fused","B","","10","118129390000","125858000000","88612100000","132160000000","14805832669.3537","4497000739","True","4497000739"
"main","512","4","4","fused","B","","10","101304640000","95181250000","81395900000","136324000000","15188670378.4894","1695278401","True","1695278401"
"main","512","8","4","fused","B","","10","97815210000","98219650000","79700600000","116012000000","11836811668.3886","4597141022","True","4597141022"
"main","512","2","4","fused","A","","10","48304290000","49925700000","33510000000","52791700000","5431870989.16202","201861269","True","201861269"
"main","768","1","2","fused","B","","10","36277120000","33022350000","26008500000","54738100000","9101044799.45022","759319643","True","759319643"
"main","512","4","1","repeat","B","","10","36866350000","38298700000","28670400000","40079400000","3586181006.93481","1471357870","True","1471357870"
"main","640","8","2","fused","A","","10","109220700000","107191000000","101080000000","132668000000","8738265640.84659","4048733537","True","4048733537"
"main","384","4","1","fused","A","","10","83681090000","79003200000","70305400000","123392000000","14828584769.4546","1603313223","True","1603313223"
"main","384","16","8","fused","B","","10","110943800000","111015500000","73331000000","129884000000","15654422664.538","13987789087","True","13987789087"
"main","384","2","16","fused","A","","10","45668130000","44490450000","26871700000","55514600000","8365190350.5001","521725446","True","521725446"
"main","640","2","1","repeat","B","","10","38570180000","36680300000","28138400000","52415700000","7766226536.84529","1137017487","True","1137017487"
"main","384","1","16","repeat","A","","10","33004063000","34398200000","5179230000","48786300000","10880498939.4476","169863235","True","169863235"
