probe,kernel_requested,kernel_used,avx2_supported,fma_supported,target_kib,actual_weight_bytes_per_block,allocated_weight_bytes,m,K,depth,variant,iterations,repetitions,warmup,logical_cpu_index,processor_group,group_processor_index,affinity_succeeded,affinity_error,eviction_bytes,elapsed_seconds,mac_count,mac_per_second,checksum
scalar_q4,avx2,avx2,true,true,512,524160,524160,1638,512,16,A,1,2,1,1,0,1,true,0,0,0.0033842999999999998,26836992,7929850190.5859413,15874.96484375
scalar_q4,avx2,avx2,true,true,512,524160,8386560,1638,512,16,B,1,2,1,1,0,1,true,0,0,0.0032425000000000002,26836992,8276635929.0670776,9914.1044921875
scalar_q4,avx2,avx2,true,true,512,524160,524160,1638,512,16,C,1,2,1,1,0,1,true,0,67108864,0.075108800000000003,26836992,357308224.8684575,15874.96484375
scalar_q4,avx2,avx2,true,true,1024,1048320,1048320,3276,512,1,A,1,2,1,1,0,1,true,0,0,0.00041370000000000003,3354624,8108832487.3096437,1271.6666259765625
scalar_q4,avx2,avx2,true,true,1024,1048320,1048320,3276,512,1,B,1,2,1,1,0,1,true,0,0,0.00042059999999999998,3354624,7975805991.4407997,1271.6666259765625
scalar_q4,avx2,avx2,true,true,1024,1048320,1048320,3276,512,1,C,1,2,1,1,0,1,true,0,67108864,0.00039849999999999998,3354624,8418127979.9247179,1271.6666259765625
scalar_q4,avx2,avx2,true,true,1024,1048320,1048320,3276,512,2,A,1,2,1,1,0,1,true,0,0,0.00081360000000000004,6709248,8246371681.4159288,2543.335205078125
scalar_q4,avx2,avx2,true,true,1024,1048320,2096640,3276,512,2,B,1,2,1,1,0,1,true,0,0,0.00081150000000000005,6709248,8267711645.1016626,2627.178955078125
scalar_q4,avx2,avx2,true,true,1024,1048320,1048320,3276,512,2,C,1,2,1,1,0,1,true,0,67108864,0.0047521999999999998,6709248,1411819367.8717227,2543.33544921875
scalar_q4,avx2,avx2,true,true,1024,1048320,1048320,3276,512,4,A,1,2,1,1,0,1,true,0,0,0.0016014,13418496,8379228175.3465719,5086.66650390625
scalar_q4,avx2,avx2,true,true,1024,1048320,4193280,3276,512,4,B,1,2,1,1,0,1,true,0,0,0.0016136,13418496,8315875061.9732275,4776.06005859375
scalar_q4,avx2,avx2,true,true,1024,1048320,1048320,3276,512,4,C,1,2,1,1,0,1,true,0,67108864,0.0116227,13418496,1154507644.5232174,5086.66650390625
scalar_q4,avx2,avx2,true,true,1024,1048320,1048320,3276,512,8,A,1,2,1,1,0,1,true,0,0,0.0032207999999999998,26836992,8332399403.874814,10173.341796875
scalar_q4,avx2,avx2,true,true,1024,1048320,8386560,3276,512,8,B,1,2,1,1,0,1,true,0,0,0.0032694,26836992,8208537346.3020735,10697.712890625
scalar_q4,avx2,avx2,true,true,1024,1048320,1048320,3276,512,8,C,1,2,1,1,0,1,true,0,67108864,0.028822500000000001,26836992,931112568.30601084,10173.341796875
scalar_q4,avx2,avx2,true,true,1024,1048320,1048320,3276,512,16,A,1,2,1,1,0,1,true,0,0,0.0065227999999999996,53673984,8228672349.2978477,20346.6015625
scalar_q4,avx2,avx2,true,true,1024,1048320,16773120,3276,512,16,B,1,2,1,1,0,1,true,0,0,0.0064148,53673984,8367210824.9672632,20986.685546875
scalar_q4,avx2,avx2,true,true,1024,1048320,1048320,3276,512,16,C,1,2,1,1,0,1,true,0,67108864,0.057154900000000002,53673984,939096805.3482728,20346.6015625
scalar_q4,avx2,avx2,true,true,1280,1310720,1310720,4096,512,1,A,1,2,1,1,0,1,true,0,0,0.00049669999999999998,4194304,8444340648.2786388,1821.859375
scalar_q4,avx2,avx2,true,true,1280,1310720,1310720,4096,512,1,B,1,2,1,1,0,1,true,0,0,0.00054379999999999999,4194304,7712953291.6513424,1821.859375
scalar_q4,avx2,avx2,true,true,1280,1310720,1310720,4096,512,1,C,1,2,1,1,0,1,true,0,67108864,0.00050429999999999995,4194304,8317081102.518343,1821.859375
scalar_q4,avx2,avx2,true,true,1280,1310720,1310720,4096,512,2,A,1,2,1,1,0,1,true,0,0,0.0010058000000000001,8388608,8340234639.0932589,3643.71337890625
scalar_q4,avx2,avx2,true,true,1280,1310720,2621440,4096,512,2,B,1,2,1,1,0,1,true,0,0,0.00099080000000000001,8388608,8466499798.1429148,3653.72900390625
scalar_q4,avx2,avx2,true,true,1280,1310720,1310720,4096,512,2,C,1,2,1,1,0,1,true,0,67108864,0.0048684000000000002,8388608,1723072878.1529865,3643.713623046875
scalar_q4,avx2,avx2,true,true,1280,1310720,1310720,4096,512,4,A,1,2,1,1,0,1,true,0,0,0.0020049,16777216,8368106139.9571047,7287.4404296875
