probe,kernel_requested,kernel_used,avx2_supported,fma_supported,target_kib,actual_weight_bytes_per_block,allocated_weight_bytes_per_worker,m,K,depth,variant,iterations,repetitions,warmup,worker_count,logical_cpu_indices,all_affinity_succeeded,affinity_error,batch_elapsed_seconds,batch_mac_count,batch_mac_per_second,checksum_sum,batch_repeat,variant_order
q4_gemv_batch,avx2,avx2,true,true,128,130880,130880,409,512,16,A,1,8,2,8,0..7,true,0,0.0086406,214433792,24817002522.972942,82257.0625,3,1
q4_gemv_batch,avx2,avx2,true,true,128,130880,2094080,409,512,16,B,1,8,2,8,0..7,true,0,0.0086815999999999994,214433792,24699800958.348694,85983.1796875,3,2
q4_gemv_batch,avx2,avx2,true,true,192,196480,196480,614,512,4,A,1,8,2,8,0..7,true,0,0.0039635,80478208,20304833606.660778,47808.625,3,1
q4_gemv_batch,avx2,avx2,true,true,192,196480,785920,614,512,4,B,1,8,2,8,0..7,true,0,0.0048872999999999998,80478208,16466803347.451559,43356.640625,3,2
q4_gemv_batch,avx2,avx2,true,true,192,196480,196480,614,512,8,A,1,8,2,8,0..7,true,0,0.0066381000000000001,160956416,24247362347.659721,95617.375,3,1
q4_gemv_batch,avx2,avx2,true,true,192,196480,1571840,614,512,8,B,1,8,2,8,0..7,true,0,0.0065553,160956416,24553630802.556709,67701.25,3,2
q4_gemv_batch,avx2,avx2,true,true,192,196480,196480,614,512,16,A,1,8,2,8,0..7,true,0,0.016397499999999999,321912832,19631823875.590794,191235.140625,3,1
q4_gemv_batch,avx2,avx2,true,true,192,196480,3143680,614,512,16,B,1,8,2,8,0..7,true,0,0.0133414,321912832,24128864437.015606,130342.0546875,3,2
q4_gemv_batch,avx2,avx2,true,true,512,524160,524160,1638,512,4,A,1,8,2,8,0..7,true,0,0.0108383,214695936,19809004733.214619,127000.0625,3,1
q4_gemv_batch,avx2,avx2,true,true,512,524160,2096640,1638,512,4,B,1,8,2,8,0..7,true,0,0.0090208000000000007,214695936,23800099326.002125,83551.09375,3,2
q4_gemv_batch,avx2,avx2,true,true,512,524160,524160,1638,512,8,A,1,8,2,8,0..7,true,0,0.017326399999999999,429391872,24782521008.403362,253999.734375,3,1
q4_gemv_batch,avx2,avx2,true,true,512,524160,4193280,1638,512,8,B,1,8,2,8,0..7,true,0,0.0190379,429391872,22554581755.340664,157011.625,3,2
q4_gemv_batch,avx2,avx2,true,true,512,524160,524160,1638,512,16,A,1,8,2,8,0..7,true,0,0.0356239,858783744,24106954712.987629,507998.96875,3,1
q4_gemv_batch,avx2,avx2,true,true,512,524160,8386560,1638,512,16,B,1,8,2,8,0..7,true,0,0.038868600000000003,858783744,22094537595.900032,317251.34375,3,2
q4_gemv_batch,avx2,avx2,true,true,1024,1048320,1048320,3276,512,4,A,1,8,2,8,0..7,true,0,0.019021199999999999,429391872,22574383950.539398,162773.328125,3,1
q4_gemv_batch,avx2,avx2,true,true,1024,1048320,4193280,3276,512,4,B,1,8,2,8,0..7,true,0,0.018726199999999998,429391872,22930005660.518421,152833.921875,3,2
q4_gemv_batch,avx2,avx2,true,true,1024,1048320,1048320,3276,512,8,A,1,8,2,8,0..7,true,0,0.035111900000000001,858783744,24458481141.72118,325546.96875,3,1
q4_gemv_batch,avx2,avx2,true,true,1024,1048320,8386560,3276,512,8,B,1,8,2,8,0..7,true,0,0.039978300000000001,858783744,21481247176.5933,342326.78125,3,2
q4_gemv_batch,avx2,avx2,true,true,1024,1048320,1048320,3276,512,16,A,1,8,2,8,0..7,true,0,0.072803900000000005,1717567488,23591696159.134331,651091.25,3,1
q4_gemv_batch,avx2,avx2,true,true,1024,1048320,16773120,3276,512,16,B,1,8,2,8,0..7,true,0,0.071259600000000006,1717567488,24102962800.801575,671573.9375,3,2
q4_gemv_batch,avx2,avx2,true,true,1280,1310720,1310720,4096,512,4,A,1,8,2,8,0..7,true,0,0.021722499999999999,536870912,24714968903.210957,233198.109375,3,1
q4_gemv_batch,avx2,avx2,true,true,1280,1310720,5242880,4096,512,4,B,1,8,2,8,0..7,true,0,0.0246847,536870912,21749136590.681679,201974.359375,3,2
q4_gemv_batch,avx2,avx2,true,true,1280,1310720,1310720,4096,512,8,A,1,8,2,8,0..7,true,0,0.043502699999999998,1073741824,24682188094.072323,466394.96875,3,1
q4_gemv_batch,avx2,avx2,true,true,1280,1310720,10485760,4096,512,8,B,1,8,2,8,0..7,true,0,0.049104500000000002,1073741824,21866464865.745502,427817.78125,3,2
q4_gemv_batch,avx2,avx2,true,true,1280,1310720,1310720,4096,512,16,A,1,8,2,8,0..7,true,0,0.089825000000000002,2147483648,23907416064.569996,932780.0625,3,1
q4_gemv_batch,avx2,avx2,true,true,1280,1310720,20971520,4096,512,16,B,1,8,2,8,0..7,true,0,0.090764999999999998,2147483648,23659820944.196552,824730.0625,3,2
q4_gemv_batch,avx2,avx2,true,true,128,130880,523520,409,512,4,B,1,8,2,8,0..7,true,0,0.0055012999999999998,53608448,9744687255.7395535,25891.703125,4,1
q4_gemv_batch,avx2,avx2,true,true,128,130880,130880,409,512,4,A,1,8,2,8,0..7,true,0,0.0036338,53608448,14752723870.328581,20564.263671875,4,2
q4_gemv_batch,avx2,avx2,true,true,128,130880,1047040,409,512,8,B,1,8,2,8,0..7,true,0,0.0043461000000000003,107216896,24669679942.937344,38255.015625,4,1
q4_gemv_batch,avx2,avx2,true,true,128,130880,130880,409,512,8,A,1,8,2,8,0..7,true,0,0.0046353999999999996,107216896,23130020278.724598,41128.58203125,4,2
q4_gemv_batch,avx2,avx2,true,true,128,130880,2094080,409,512,16,B,1,8,2,8,0..7,true,0,0.0087408999999999994,214433792,24532232607.626217,85983.1796875,4,1
q4_gemv_batch,avx2,avx2,true,true,128,130880,130880,409,512,16,A,1,8,2,8,0..7,true,0,0.0086408000000000006,214433792,24816428108.508469,82257.0625,4,2
q4_gemv_batch,avx2,avx2,true,true,192,196480,785920,614,512,4,B,1,8,2,8,0..7,true,0,0.0033444999999999998,80478208,24062851846.314846,43356.640625,4,1
q4_gemv_batch,avx2,avx2,true,true,192,196480,196480,614,512,4,A,1,8,2,8,0..7,true,0,0.0046303999999999998,80478208,17380400829.302006,47808.625,4,2
q4_gemv_batch,avx2,avx2,true,true,192,196480,1571840,614,512,8,B,1,8,2,8,0..7,true,0,0.0064941,160956416,24785022712.924038,67701.25,4,1
q4_gemv_batch,avx2,avx2,true,true,192,196480,196480,614,512,8,A,1,8,2,8,0..7,true,0,0.0088283000000000007,160956416,18231869782.404312,95617.375,4,2
q4_gemv_batch,avx2,avx2,true,true,192,196480,3143680,614,512,16,B,1,8,2,8,0..7,true,0,0.0140445,321912832,22920917939.406887,130342.0546875,4,1
q4_gemv_batch,avx2,avx2,true,true,192,196480,196480,614,512,16,A,1,8,2,8,0..7,true,0,0.0156204,321912832,20608488386.981129,191235.140625,4,2
q4_gemv_batch,avx2,avx2,true,true,512,524160,2096640,1638,512,4,B,1,8,2,8,0..7,true,0,0.0090215,214695936,23798252618.74411,83551.09375,4,1
q4_gemv_batch,avx2,avx2,true,true,512,524160,524160,1638,512,4,A,1,8,2,8,0..7,true,0,0.0087036000000000006,214695936,24667486557.28664,127000.0625,4,2
q4_gemv_batch,avx2,avx2,true,true,512,524160,4193280,1638,512,8,B,1,8,2,8,0..7,true,0,0.018190499999999998,429391872,23605281438.113304,157011.625,4,1
q4_gemv_batch,avx2,avx2,true,true,512,524160,524160,1638,512,8,A,1,8,2,8,0..7,true,0,0.017335900000000001,429391872,24768940291.533752,253999.734375,4,2
q4_gemv_batch,avx2,avx2,true,true,512,524160,8386560,1638,512,16,B,1,8,2,8,0..7,true,0,0.037896800000000001,858783744,22661115028.181797,317251.34375,4,1
q4_gemv_batch,avx2,avx2,true,true,512,524160,524160,1638,512,16,A,1,8,2,8,0..7,true,0,0.035020700000000002,858783744,24522175284.902927,507998.96875,4,2
q4_gemv_batch,avx2,avx2,true,true,1024,1048320,4193280,3276,512,4,B,1,8,2,8,0..7,true,0,0.018491799999999999,429391872,23220663861.819836,152833.921875,4,1
q4_gemv_batch,avx2,avx2,true,true,1024,1048320,1048320,3276,512,4,A,1,8,2,8,0..7,true,0,0.017373199999999998,429391872,24715761747.979649,162773.328125,4,2
q4_gemv_batch,avx2,avx2,true,true,1024,1048320,8386560,3276,512,8,B,1,8,2,8,0..7,true,0,0.039177299999999998,858783744,21920442296.942364,342326.78125,4,1
q4_gemv_batch,avx2,avx2,true,true,1024,1048320,1048320,3276,512,8,A,1,8,2,8,0..7,true,0,0.035187099999999999,858783744,24406209775.74168,325546.96875,4,2
q4_gemv_batch,avx2,avx2,true,true,1024,1048320,16773120,3276,512,16,B,1,8,2,8,0..7,true,0,0.073631600000000005,1717567488,23326499600.714909,671573.9375,4,1
q4_gemv_batch,avx2,avx2,true,true,1024,1048320,1048320,3276,512,16,A,1,8,2,8,0..7,true,0,0.071082999999999993,1717567488,24162844674.535404,651091.25,4,2
q4_gemv_batch,avx2,avx2,true,true,1280,1310720,5242880,4096,512,4,B,1,8,2,8,0..7,true,0,0.022468700000000001,536870912,23894168866.022511,201974.359375,4,1
q4_gemv_batch,avx2,avx2,true,true,1280,1310720,1310720,4096,512,4,A,1,8,2,8,0..7,true,0,0.021636099999999998,536870912,24813663830.357597,233198.109375,4,2
q4_gemv_batch,avx2,avx2,true,true,1280,1310720,10485760,4096,512,8,B,1,8,2,8,0..7,true,0,0.044924899999999997,1073741824,23900817230.533627,427817.78125,4,1
q4_gemv_batch,avx2,avx2,true,true,1280,1310720,1310720,4096,512,8,A,1,8,2,8,0..7,true,0,0.047184799999999999,1073741824,22756095691.832962,466394.96875,4,2
q4_gemv_batch,avx2,avx2,true,true,1280,1310720,20971520,4096,512,16,B,1,8,2,8,0..7,true,0,0.0916294,2147483648,23436622394.12241,824730.0625,4,1
q4_gemv_batch,avx2,avx2,true,true,1280,1310720,1310720,4096,512,16,A,1,8,2,8,0..7,true,0,0.094252500000000003,2147483648,22784368032.678177,932780.0625,4,2
q4_gemv_batch,avx2,avx2,true,true,128,130880,130880,409,512,4,A,1,8,2,8,0..7,true,0,0.0034761000000000002,53608448,15422009723.540749,20564.263671875,5,1
q4_gemv_batch,avx2,avx2,true,true,128,130880,523520,409,512,4,B,1,8,2,8,0..7,true,0,0.0021922000000000001,53608448,24454177538.545753,25891.703125,5,2
q4_gemv_batch,avx2,avx2,true,true,128,130880,130880,409,512,8,A,1,8,2,8,0..7,true,0,0.0050169999999999998,107216896,21370718756.228825,41128.58203125,5,1
q4_gemv_batch,avx2,avx2,true,true,128,130880,1047040,409,512,8,B,1,8,2,8,0..7,true,0,0.0045687000000000002,107216896,23467703285.398472,38255.015625,5,2
q4_gemv_batch,avx2,avx2,true,true,128,130880,130880,409,512,16,A,1,8,2,8,0..7,true,0,0.0110057,214433792,19483884896.00843,82257.0625,5,1
q4_gemv_batch,avx2,avx2,true,true,128,130880,2094080,409,512,16,B,1,8,2,8,0..7,true,0,0.0087478,214433792,24512882324.69878,85983.1796875,5,2
q4_gemv_batch,avx2,avx2,true,true,192,196480,196480,614,512,4,A,1,8,2,8,0..7,true,0,0.0041888000000000003,80478208,19212711993.888462,47808.625,5,1
q4_gemv_batch,avx2,avx2,true,true,192,196480,785920,614,512,4,B,1,8,2,8,0..7,true,0,0.0032697,80478208,24613330886.625683,43356.640625,5,2
q4_gemv_batch,avx2,avx2,true,true,192,196480,196480,614,512,8,A,1,8,2,8,0..7,true,0,0.0068630000000000002,160956416,23452778085.385399,95617.375,5,1
q4_gemv_batch,avx2,avx2,true,true,192,196480,1571840,614,512,8,B,1,8,2,8,0..7,true,0,0.0065658000000000001,160956416,24514364738.493404,67701.25,5,2
q4_gemv_batch,avx2,avx2,true,true,192,196480,196480,614,512,16,A,1,8,2,8,0..7,true,0,0.0130308,321912832,24703996070.84753,191235.140625,5,1
q4_gemv_batch,avx2,avx2,true,true,192,196480,3143680,614,512,16,B,1,8,2,8,0..7,true,0,0.0130089,321912832,24745584330.727425,130342.0546875,5,2
q4_gemv_batch,avx2,avx2,true,true,512,524160,524160,1638,512,4,A,1,8,2,8,0..7,true,0,0.0086455000000000004,214695936,24833258458.157421,127000.0625,5,1
q4_gemv_batch,avx2,avx2,true,true,512,524160,2096640,1638,512,4,B,1,8,2,8,0..7,true,0,0.0091556999999999993,214695936,23449428880.369606,83551.09375,5,2
q4_gemv_batch,avx2,avx2,true,true,512,524160,524160,1638,512,8,A,1,8,2,8,0..7,true,0,0.019566099999999999,429391872,21945705684.832439,253999.734375,5,1
q4_gemv_batch,avx2,avx2,true,true,512,524160,4193280,1638,512,8,B,1,8,2,8,0..7,true,0,0.021345699999999999,429391872,20116082958.160194,157011.625,5,2
q4_gemv_batch,avx2,avx2,true,true,512,524160,524160,1638,512,16,A,1,8,2,8,0..7,true,0,0.037419599999999997,858783744,22950104864.830196,507998.96875,5,1
q4_gemv_batch,avx2,avx2,true,true,512,524160,8386560,1638,512,16,B,1,8,2,8,0..7,true,0,0.041574699999999999,858783744,20656402667.968742,317251.34375,5,2
q4_gemv_batch,avx2,avx2,true,true,1024,1048320,1048320,3276,512,4,A,1,8,2,8,0..7,true,0,0.017270299999999999,429391872,24863023340.648399,162773.328125,5,1
q4_gemv_batch,avx2,avx2,true,true,1024,1048320,4193280,3276,512,4,B,1,8,2,8,0..7,true,0,0.017503899999999999,429391872,24531211444.306698,152833.921875,5,2
q4_gemv_batch,avx2,avx2,true,true,1024,1048320,1048320,3276,512,8,A,1,8,2,8,0..7,true,0,0.036100599999999997,858783744,23788628000.642651,325546.96875,5,1
q4_gemv_batch,avx2,avx2,true,true,1024,1048320,8386560,3276,512,8,B,1,8,2,8,0..7,true,0,0.037905099999999997,858783744,22656152971.499878,342326.78125,5,2
q4_gemv_batch,avx2,avx2,true,true,1024,1048320,1048320,3276,512,16,A,1,8,2,8,0..7,true,0,0.072755799999999995,1717567488,23607292999.321018,651091.25,5,1
q4_gemv_batch,avx2,avx2,true,true,1024,1048320,16773120,3276,512,16,B,1,8,2,8,0..7,true,0,0.073213299999999995,1717567488,23459774221.350494,671573.9375,5,2
q4_gemv_batch,avx2,avx2,true,true,1280,1310720,1310720,4096,512,4,A,1,8,2,8,0..7,true,0,0.021737900000000001,536870912,24697459828.226276,233198.109375,5,1
q4_gemv_batch,avx2,avx2,true,true,1280,1310720,5242880,4096,512,4,B,1,8,2,8,0..7,true,0,0.0224636,536870912,23899593653.73315,201974.359375,5,2
q4_gemv_batch,avx2,avx2,true,true,1280,1310720,1310720,4096,512,8,A,1,8,2,8,0..7,true,0,0.044746399999999999,1073741824,23996161121.341606,466394.96875,5,1
q4_gemv_batch,avx2,avx2,true,true,1280,1310720,10485760,4096,512,8,B,1,8,2,8,0..7,true,0,0.045876199999999999,1073741824,23405204092.753979,427817.78125,5,2
q4_gemv_batch,avx2,avx2,true,true,1280,1310720,1310720,4096,512,16,A,1,8,2,8,0..7,true,0,0.095445100000000005,2147483648,22499674137.278915,932780.0625,5,1
q4_gemv_batch,avx2,avx2,true,true,1280,1310720,20971520,4096,512,16,B,1,8,2,8,0..7,true,0,0.090082700000000002,2147483648,23839024007.939369,824730.0625,5,2
