"record_type","cpu","run","rows_per_worker","median_mac_per_second","elapsed_seconds","mac_per_second","final_checksum","per_round_checksums","affinity_succeeded","timed_repetitions_exact"
"raw","2","5","1472","","0.2619009","1058982050.08077","14756745233619848255","14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255","true","true"
"median","2","","1472","1197174039.53568","","","","","true","true"
"raw","4","1","1472","","0.1923592","1441825251.92452","14756745233619848255","14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255","true","true"
"raw","4","2","1472","","0.1978797","1401600831.2121","14756745233619848255","14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255","true","true"
"raw","4","3","1472","","0.2131072","1301449936.93315","14756745233619848255","14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255","true","true"
"raw","4","4","1472","","0.2027144","1368172917.16819","14756745233619848255","14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255","true","true"
"raw","4","5","1472","","0.1973595","1405295169.47499","14756745233619848255","14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255","true","true"
"median","4","","1472","1401600831.2121","","","","","true","true"
"raw","6","1","1472","","0.193756","1431431036.97434","14756745233619848255","14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255","true","true"
"raw","6","2","1472","","0.1843039","1504842556.23457","14756745233619848255","14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255","true","true"
"raw","6","3","1472","","0.1772227","1564970807.91569","14756745233619848255","14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255","true","true"
"raw","6","4","1472","","0.1850047","1499142194.76586","14756745233619848255","14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255;14756745233619848255","true","true"
