"metric","native_mode","D","S","R","rows_per_worker","n","median","min","max","population_sd","checksum","checksum_deterministic","checksum_values","elapsed_median_seconds","mac_total","mac_per_second_median","all_rounds_valid","timed_repetitions","warmup","worker_count","cpus"
"G(S)","fused","512","8","16","128,128,128,128","10","4498702969.22034","2628964898.5524","5101832273.75963","762822400.690903","1082386642973797661","True","1082386642973797661","0.0597253","268435456","4498702969.22034","True","8","2","4","0,2,4,6"
"F(S)","repeat","512","8","16","128,128,128,128","10","4163289801.56388","2199360401.66618","5044954227.41018","856578939.191407","1082386642973797661","True","1082386642973797661","0.0652441","268435456","4163289801.56388","True","8","2","4","0,2,4,6"
"G(S)","fused","512","16","1","128,128,128,128","10","5158194789.29162","4212523162.67858","5939258000.56641","487777750.459244","3144505421455985126","True","3144505421455985126","0.00650595","33554432","5158194789.29162","True","8","2","4","0,2,4,6"
"F(S)","repeat","512","16","1","128,128,128,128","10","5383353797.69878","3930517166.653","5658706511.29062","501814266.300746","3144505421455985126","True","3144505421455985126","0.00623305","33554432","5383353797.69878","True","8","2","4","0,2,4,6"
"G(S)","fused","512","16","2","128,128,128,128","10","4594186682.0127","1168400999.36452","5623946298.82592","1530799022.46389","11696465265078938627","True","11696465265078938627","0.0146752","67108864","4594186682.0127","True","8","2","4","0,2,4,6"
"F(S)","repeat","512","16","2","128,128,128,128","10","3232168608.29147","860571954.702193","5391829283.96966","1771438444.97612","11696465265078938627","True","11696465265078938627","0.02507625","67108864","3232168608.29147","True","8","2","4","0,2,4,6"
"G(S)","fused","512","16","4","128,128,128,128","10","2479620745.83452","932129050.180394","5095875923.07838","1313869272.22264","6096183207485726223","True","6096183207485726223","0.05416365","134217728","2479620745.83452","True","8","2","4","0,2,4,6"
"F(S)","repeat","512","16","4","128,128,128,128","10","2020755330.36511","909163578.379938","3027763495.68003","605917785.37906","6096183207485726223","True","6096183207485726223","0.06670815","134217728","2020755330.36511","True","8","2","4","0,2,4,6"
"G(S)","fused","512","16","8","128,128,128,128","10","3225295754.32022","2470980455.69024","4583915314.64149","583467565.301586","11436827120084176368","True","11436827120084176368","0.0832646","268435456","3225295754.32022","True","8","2","4","0,2,4,6"
"F(S)","repeat","512","16","8","128,128,128,128","10","3088044274.98574","2151078530.44007","4431734157.48739","633086029.809197","11436827120084176368","True","11436827120084176368","0.0873796","268435456","3088044274.98574","True","8","2","4","0,2,4,6"
"G(S)","fused","512","16","16","128,128,128,128","10","4041221809.57093","3464745079.94385","4870500729.84357","498345062.941135","16807407504156841981","True","16807407504156841981","0.1328792","536870912","4041221809.57093","True","8","2","4","0,2,4,6"
"F(S)","repeat","512","16","16","128,128,128,128","10","4266163686.56803","3348576525.26288","4774991457.20285","472874805.375906","16807407504156841981","True","16807407504156841981","0.1258454","536870912","4266163686.56803","True","8","2","4","0,2,4,6"
