"D","S","R","round","reference_checksum","fused_checksum","repeat_checksum","reference_finite","fused_finite","repeat_finite","reference_overflow","fused_overflow","repeat_overflow","reference_clipped_cells","fused_clipped_cells","repeat_clipped_cells","total_cells","expected_equal_cells","fused_cells_equal_to_reference","repeat_cells_equal_to_reference","reference_clipping_rate","fused_clipping_rate","repeat_clipping_rate"
"53","4","16","3","16865931945121714732","16865931945121714732","16865931945121714732","true","true","true","false","false","false","0","0","0","212","212","212","212","0.000000000","0.000000000","0.000000000"
"53","4","16","4","11216967072328430210","11216967072328430210","11216967072328430210","true","true","true","false","false","false","0","0","0","212","212","212","212","0.000000000","0.000000000","0.000000000"
"53","4","16","5","8569224242620649498","8569224242620649498","8569224242620649498","true","true","true","false","false","false","0","0","0","212","212","212","212","0.000000000","0.000000000","0.000000000"
"53","4","16","6","17544199660757500409","17544199660757500409","17544199660757500409","true","true","true","false","false","false","0","0","0","212","212","212","212","0.000000000","0.000000000","0.000000000"
"53","4","16","7","17398584555169843937","17398584555169843937","17398584555169843937","true","true","true","false","false","false","0","0","0","212","212","212","212","0.000000000","0.000000000","0.000000000"
"53","4","16","8","15971157021253598052","15971157021253598052","15971157021253598052","true","true","true","false","false","false","0","0","0","212","212","212","212","0.000000000","0.000000000","0.000000000"
"53","4","16","9","718436679542033381","718436679542033381","718436679542033381","true","true","true","false","false","false","0","0","0","212","212","212","212","0.000000000","0.000000000","0.000000000"
"53","4","16","10","16705361984372984951","16705361984372984951","16705361984372984951","true","true","true","false","false","false","0","0","0","212","212","212","212","0.000000000","0.000000000","0.000000000"
"53","4","16","11","3646933487254528189","3646933487254528189","3646933487254528189","true","true","true","false","false","false","0","0","0","212","212","212","212","0.000000000","0.000000000","0.000000000"
"53","4","16","12","3229877480198154905","3229877480198154905","3229877480198154905","true","true","true","false","false","false","0","0","0","212","212","212","212","0.000000000","0.000000000","0.000000000"
"53","4","16","13","5760448577065826631","5760448577065826631","5760448577065826631","true","true","true","false","false","false","0","0","0","212","212","212","212","0.000000000","0.000000000","0.000000000"
"53","4","16","14","6480175673364220646","6480175673364220646","6480175673364220646","true","true","true","false","false","false","0","0","0","212","212","212","212","0.000000000","0.000000000","0.000000000"
"53","4","16","15","9278886632799648266","9278886632799648266","9278886632799648266","true","true","true","false","false","false","0","0","0","212","212","212","212","0.000000000","0.000000000","0.000000000"
"53","4","16","16","3958944752630561920","3958944752630561920","3958944752630561920","true","true","true","false","false","false","0","0","0","212","212","212","212","0.000000000","0.000000000","0.000000000"
"512","1","16","1","14898899009124988422","14898899009124988422","14898899009124988422","true","true","true","false","false","false","1","1","1","512","512","512","512","0.001953125","0.001953125","0.001953125"
"512","1","16","2","6462045683963481239","6462045683963481239","6462045683963481239","true","true","true","false","false","false","0","0","0","512","512","512","512","0.000000000","0.000000000","0.000000000"
"512","1","16","3","9210068611097798360","9210068611097798360","9210068611097798360","true","true","true","false","false","false","0","0","0","512","512","512","512","0.000000000","0.000000000","0.000000000"
"512","1","16","4","12481171535945928788","12481171535945928788","12481171535945928788","true","true","true","false","false","false","0","0","0","512","512","512","512","0.000000000","0.000000000","0.000000000"
"512","1","16","5","8500892489455137714","8500892489455137714","8500892489455137714","true","true","true","false","false","false","0","0","0","512","512","512","512","0.000000000","0.000000000","0.000000000"
"512","1","16","6","2592931602293563195","2592931602293563195","2592931602293563195","true","true","true","false","false","false","1","1","1","512","512","512","512","0.001953125","0.001953125","0.001953125"
"512","1","16","7","2677646739092701351","2677646739092701351","2677646739092701351","true","true","true","false","false","false","0","0","0","512","512","512","512","0.000000000","0.000000000","0.000000000"
"512","1","16","8","2380899296000655185","2380899296000655185","2380899296000655185","true","true","true","false","false","false","0","0","0","512","512","512","512","0.000000000","0.000000000","0.000000000"
"512","1","16","9","11191424228672591386","11191424228672591386","11191424228672591386","true","true","true","false","false","false","0","0","0","512","512","512","512","0.000000000","0.000000000","0.000000000"
"512","1","16","10","14619680851703744493","14619680851703744493","14619680851703744493","true","true","true","false","false","false","0","0","0","512","512","512","512","0.000000000","0.000000000","0.000000000"
"512","1","16","11","1227607263135864893","1227607263135864893","1227607263135864893","true","true","true","false","false","false","0","0","0","512","512","512","512","0.000000000","0.000000000","0.000000000"
"512","1","16","12","17424468294133252624","17424468294133252624","17424468294133252624","true","true","true","false","false","false","0","0","0","512","512","512","512","0.000000000","0.000000000","0.000000000"
"512","1","16","13","16801946052581371135","16801946052581371135","16801946052581371135","true","true","true","false","false","false","0","0","0","512","512","512","512","0.000000000","0.000000000","0.000000000"
"512","1","16","14","13061931570971092385","13061931570971092385","13061931570971092385","true","true","true","false","false","false","0","0","0","512","512","512","512","0.000000000","0.000000000","0.000000000"
"512","1","16","15","16665463178324712850","16665463178324712850","16665463178324712850","true","true","true","false","false","false","0","0","0","512","512","512","512","0.000000000","0.000000000","0.000000000"
"512","1","16","16","17278782109416324485","17278782109416324485","17278782109416324485","true","true","true","false","false","false","0","0","0","512","512","512","512","0.000000000","0.000000000","0.000000000"
"512","4","16","1","802585874622107506","802585874622107506","802585874622107506","true","true","true","false","false","false","1","1","1","2048","2048","2048","2048","0.000488281","0.000488281","0.000488281"
"512","4","16","2","6843137336401301878","6843137336401301878","6843137336401301878","true","true","true","false","false","false","0","0","0","2048","2048","2048","2048","0.000000000","0.000000000","0.000000000"
"512","4","16","3","243492792431758581","243492792431758581","243492792431758581","true","true","true","false","false","false","0","0","0","2048","2048","2048","2048","0.000000000","0.000000000","0.000000000"
"512","4","16","4","14059103276006091298","14059103276006091298","14059103276006091298","true","true","true","false","false","false","1","1","1","2048","2048","2048","2048","0.000488281","0.000488281","0.000488281"
"512","4","16","5","1158913573213947398","1158913573213947398","1158913573213947398","true","true","true","false","false","false","1","1","1","2048","2048","2048","2048","0.000488281","0.000488281","0.000488281"
"512","4","16","6","9889361361352942511","9889361361352942511","9889361361352942511","true","true","true","false","false","false","0","0","0","2048","2048","2048","2048","0.000000000","0.000000000","0.000000000"
"512","4","16","7","4726592492590164936","4726592492590164936","4726592492590164936","true","true","true","false","false","false","0","0","0","2048","2048","2048","2048","0.000000000","0.000000000","0.000000000"
"512","4","16","8","12758660077387422956","12758660077387422956","12758660077387422956","true","true","true","false","false","false","0","0","0","2048","2048","2048","2048","0.000000000","0.000000000","0.000000000"
"512","4","16","9","13533881839499384096","13533881839499384096","13533881839499384096","true","true","true","false","false","false","0","0","0","2048","2048","2048","2048","0.000000000","0.000000000","0.000000000"
"512","4","16","10","7310189845034034888","7310189845034034888","7310189845034034888","true","true","true","false","false","false","0","0","0","2048","2048","2048","2048","0.000000000","0.000000000","0.000000000"
"512","4","16","11","5106243394418893227","5106243394418893227","5106243394418893227","true","true","true","false","false","false","1","1","1","2048","2048","2048","2048","0.000488281","0.000488281","0.000488281"
"512","4","16","12","15403085199196264906","15403085199196264906","15403085199196264906","true","true","true","false","false","false","0","0","0","2048","2048","2048","2048","0.000000000","0.000000000","0.000000000"
"512","4","16","13","18121799263214572774","18121799263214572774","18121799263214572774","true","true","true","false","false","false","1","1","1","2048","2048","2048","2048","0.000488281","0.000488281","0.000488281"
"512","4","16","14","12102561263290129450","12102561263290129450","12102561263290129450","true","true","true","false","false","false","1","1","1","2048","2048","2048","2048","0.000488281","0.000488281","0.000488281"
"512","4","16","15","16216014924467923489","16216014924467923489","16216014924467923489","true","true","true","false","false","false","2","2","2","2048","2048","2048","2048","0.000976562","0.000976562","0.000976562"
"512","4","16","16","18126529123794104350","18126529123794104350","18126529123794104350","true","true","true","false","false","false","0","0","0","2048","2048","2048","2048","0.000000000","0.000000000","0.000000000"
