"invocation","target_kib","repeat","variant","rows_per_worker","D","S","R","mode","S_tile","iterations","timed_repetitions","warmup","worker_count","worker_list","affinity_succeeded","affinity","affinity_error","timed_repetitions_exact","avx2_supported","kernel_used","mac_total","elapsed_seconds","mac_per_second","checksum","correction_evidence","four_worker_affinity","exact_repetitions","valid"
"11","512","6","B","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0121541","2.2086e+10","18446744073530809057","True","True","True","True"
"12","512","6","A","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0123217","2.17856e+10","81541731","True","True","True","True"
"13","512","7","A","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0122227","2.1962e+10","81541731","True","True","True","True"
"14","512","7","B","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0130553","2.05614e+10","18446744073530809057","True","True","True","True"
"15","512","8","B","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0135572","1.98002e+10","18446744073530809057","True","True","True","True"
"16","512","8","A","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0129921","2.06614e+10","81541731","True","True","True","True"
"17","512","9","A","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0152893","1.75571e+10","81541731","True","True","True","True"
"18","512","9","B","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0139456","1.92488e+10","18446744073530809057","True","True","True","True"
"19","512","10","B","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0143507","1.87054e+10","18446744073530809057","True","True","True","True"
"20","512","10","A","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.011774","2.2799e+10","81541731","True","True","True","True"
"21","768","1","A","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.019403","2.07521e+10","18446744073656903484","True","True","True","True"
"22","768","1","B","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.0187873","2.14322e+10","18446744072675525801","True","True","True","True"
"23","768","2","B","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.0186735","2.15628e+10","18446744072675525801","True","True","True","True"
"24","768","2","A","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.0186868","2.15475e+10","18446744073656903484","True","True","True","True"
"25","768","3","A","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.0187832","2.14369e+10","18446744073656903484","True","True","True","True"
"26","768","3","B","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.0206467","1.95021e+10","18446744072675525801","True","True","True","True"
"27","768","4","B","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.0194239","2.07298e+10","18446744072675525801","True","True","True","True"
"28","768","4","A","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.0194894","2.06601e+10","18446744073656903484","True","True","True","True"
"29","768","5","A","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.0173969","2.31451e+10","18446744073656903484","True","True","True","True"
"30","768","5","B","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.0204045","1.97335e+10","18446744072675525801","True","True","True","True"
"31","768","6","B","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.0198211","2.03144e+10","18446744072675525801","True","True","True","True"
"32","768","6","A","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.0183211","2.19776e+10","18446744073656903484","True","True","True","True"
"33","768","7","A","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.0172452","2.33487e+10","18446744073656903484","True","True","True","True"
"34","768","7","B","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.0194696","2.06811e+10","18446744072675525801","True","True","True","True"
"35","768","8","B","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.0193165","2.0845e+10","18446744072675525801","True","True","True","True"
"36","768","8","A","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.0191246","2.10542e+10","18446744073656903484","True","True","True","True"
"37","768","9","A","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.017559","2.29314e+10","18446744073656903484","True","True","True","True"
"38","768","9","B","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.0204949","1.96465e+10","18446744072675525801","True","True","True","True"
"39","768","10","B","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.0238166","1.69064e+10","18446744072675525801","True","True","True","True"
"40","768","10","A","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.0234191","1.71934e+10","18446744073656903484","True","True","True","True"
