"invocation","target_kib","repeat","variant","D","S","R","O_i","B_i","rows_per_worker","bytes_per_worker","mode","S_tile","iterations","timed_repetitions","warmup","worker_count","worker_list","affinity","affinity_error","affinity_succeeded","timed_repetitions_exact","avx2_supported","kernel_used","eviction_bytes","eviction_checksum","elapsed_seconds","mac_total","mac_per_second","checksum"
"31","768","6","B","512","1","16","1816,1705,1023,1600","14876672,13967360,8380416,13107200","1816,1705,1023,1600","14876672,13967360,8380416,13107200","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0146604","402653184","2.74654e+10","18446744072675525801"
"31","768","6","B","512","1","16","1816,1705,1023,1600","14876672,13967360,8380416,13107200","1816,1705,1023,1600","14876672,13967360,8380416,13107200","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0221365","402653184","1.81896e+10","18446744072675525801"
"32","768","6","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0041413","402653184","9.72287e+10","18446744073656903484"
"32","768","6","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0138551","402653184","2.90617e+10","18446744073656903484"
"32","768","6","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0220883","402653184","1.82293e+10","18446744073656903484"
"33","768","7","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0067323","402653184","5.98092e+10","18446744073656903484"
"33","768","7","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0147472","402653184","2.73037e+10","18446744073656903484"
"33","768","7","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0189481","402653184","2.12503e+10","18446744073656903484"
"34","768","7","B","512","1","16","1816,1705,1023,1600","14876672,13967360,8380416,13107200","1816,1705,1023,1600","14876672,13967360,8380416,13107200","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0249083","402653184","1.61654e+10","18446744072675525801"
"34","768","7","B","512","1","16","1816,1705,1023,1600","14876672,13967360,8380416,13107200","1816,1705,1023,1600","14876672,13967360,8380416,13107200","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0150406","402653184","2.67711e+10","18446744072675525801"
"34","768","7","B","512","1","16","1816,1705,1023,1600","14876672,13967360,8380416,13107200","1816,1705,1023,1600","14876672,13967360,8380416,13107200","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0243663","402653184","1.6525e+10","18446744072675525801"
"35","768","8","B","512","1","16","1816,1705,1023,1600","14876672,13967360,8380416,13107200","1816,1705,1023,1600","14876672,13967360,8380416,13107200","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0125562","402653184","3.20681e+10","18446744072675525801"
"35","768","8","B","512","1","16","1816,1705,1023,1600","14876672,13967360,8380416,13107200","1816,1705,1023,1600","14876672,13967360,8380416,13107200","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0131832","402653184","3.05429e+10","18446744072675525801"
"35","768","8","B","512","1","16","1816,1705,1023,1600","14876672,13967360,8380416,13107200","1816,1705,1023,1600","14876672,13967360,8380416,13107200","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.018179","402653184","2.21494e+10","18446744072675525801"
"36","768","8","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0056835","402653184","7.0846e+10","18446744073656903484"
"36","768","8","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0127056","402653184","3.1691e+10","18446744073656903484"
"36","768","8","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0200978","402653184","2.00347e+10","18446744073656903484"
"37","768","9","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0058454","402653184","6.88838e+10","18446744073656903484"
"37","768","9","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0117276","402653184","3.43338e+10","18446744073656903484"
"37","768","9","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0197388","402653184","2.03991e+10","18446744073656903484"
"38","768","9","B","512","1","16","1816,1705,1023,1600","14876672,13967360,8380416,13107200","1816,1705,1023,1600","14876672,13967360,8380416,13107200","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0155635","402653184","2.58716e+10","18446744072675525801"
"38","768","9","B","512","1","16","1816,1705,1023,1600","14876672,13967360,8380416,13107200","1816,1705,1023,1600","14876672,13967360,8380416,13107200","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0145877","402653184","2.76022e+10","18446744072675525801"
"38","768","9","B","512","1","16","1816,1705,1023,1600","14876672,13967360,8380416,13107200","1816,1705,1023,1600","14876672,13967360,8380416,13107200","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0192653","402653184","2.09004e+10","18446744072675525801"
"39","768","10","B","512","1","16","1816,1705,1023,1600","14876672,13967360,8380416,13107200","1816,1705,1023,1600","14876672,13967360,8380416,13107200","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0098097","402653184","4.10464e+10","18446744072675525801"
"39","768","10","B","512","1","16","1816,1705,1023,1600","14876672,13967360,8380416,13107200","1816,1705,1023,1600","14876672,13967360,8380416,13107200","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0142702","402653184","2.82164e+10","18446744072675525801"
"39","768","10","B","512","1","16","1816,1705,1023,1600","14876672,13967360,8380416,13107200","1816,1705,1023,1600","14876672,13967360,8380416,13107200","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0243042","402653184","1.65672e+10","18446744072675525801"
"40","768","10","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","legacy","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0070833","402653184","5.68454e+10","18446744073656903484"
"40","768","10","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","repeat","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.014644","402653184","2.74961e+10","18446744073656903484"
"40","768","10","A","512","1","16","1816,1705,1023,1600","929792,872960,523776,819200","1816,1705,1023,1600","929792,872960,523776,819200","fused","8","1","8","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0188308","402653184","2.13827e+10","18446744073656903484"
