"run","order_index","D","S","R","component","mode","elapsed_seconds","elapsed_per_timed_step","qpc_ticks_per_timed_step","tsc_cycles_per_timed_step","tsc_supported","mac_total","mac_per_second","checksum_kind","validation_invariant","final_checksum","per_round_checksums","per_round_finite","per_round_overflow","all_rounds_valid","worker_count","cpus","affinity","affinity_errors","affinity_succeeded","timed_repetitions","warmup","timed_repetitions_exact"
"8","3","512","4","1","transition-only","fused","0.0001966","2.4575E-05","245.75","49080.125","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","17544176442612759010","17544176442612759010","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"9","1","512","4","1","transition-only","fused","0.0004832","6.04E-05","604","120577.5","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","17544176442612759010","17544176442612759010","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"9","2","512","4","1","gemv-only","fused","0.0005295","6.61875E-05","661.875","132130","true","8388608","15842508026.44","output","output checksum; GEMV output is deterministic and state remains frozen","4248865521692537765","4248865521692537765","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"9","3","512","4","1","full","fused","0.0007877","9.84625E-05","984.625","196570.125","true","8388608","10649496001.0156","state","state checksum; actual GEMV followed by apply_transition","5494975376828880146","5494975376828880146","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"10","1","512","4","1","full","fused","0.000567","7.0875E-05","708.75","141472.25","true","8388608","14794723104.0564","state","state checksum; actual GEMV followed by apply_transition","5494975376828880146","5494975376828880146","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"10","2","512","4","1","gemv-only","fused","0.000601","7.5125E-05","751.25","149970.25","true","8388608","13957750415.9734","output","output checksum; GEMV output is deterministic and state remains frozen","4248865521692537765","4248865521692537765","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"10","3","512","4","1","transition-only","fused","0.0001466","1.8325E-05","183.25","36577.375","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","17544176442612759010","17544176442612759010","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"1","1","512","8","1","transition-only","fused","0.0006785","8.48125E-05","848.125","169277.5","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","14302777025956857287","14302777025956857287","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"1","2","512","8","1","gemv-only","fused","0.0020512","0.0002564","2564","511817.5","true","16777216","8179219968.79875","output","output checksum; GEMV output is deterministic and state remains frozen","10291565644549863803","10291565644549863803","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"1","3","512","8","1","full","fused","0.0032095","0.0004011875","4011.875","800932.625","true","16777216","5227361271.22605","state","state checksum; actual GEMV followed by apply_transition","3842179408685066247","3842179408685066247","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
