"run","order_index","D","S","R","component","mode","elapsed_seconds","elapsed_per_timed_step","qpc_ticks_per_timed_step","tsc_cycles_per_timed_step","tsc_supported","mac_total","mac_per_second","checksum_kind","validation_invariant","final_checksum","per_round_checksums","per_round_finite","per_round_overflow","all_rounds_valid","worker_count","cpus","affinity","affinity_errors","affinity_succeeded","timed_repetitions","warmup","timed_repetitions_exact"
"8","3","512","4","1","transition-only","fused","0.000228","2.85E-05","285","56819.75","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","17544176442612759010","17544176442612759010","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"9","1","512","4","1","transition-only","fused","0.000181","2.2625E-05","226.25","45145","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","17544176442612759010","17544176442612759010","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"9","2","512","4","1","gemv-only","fused","0.0002964","3.705E-05","370.5","73947.625","true","8388608","28301646423.7517","output","output checksum; GEMV output is deterministic and state remains frozen","4248865521692537765","4248865521692537765","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"9","3","512","4","1","full","fused","0.0012808","0.0001601","1601","319607.5","true","8388608","6549506558.401","state","state checksum; actual GEMV followed by apply_transition","5494975376828880146","5494975376828880146","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"10","1","512","4","1","full","fused","0.0006856","8.57E-05","857","171115.125","true","8388608","12235425904.3174","state","state checksum; actual GEMV followed by apply_transition","5494975376828880146","5494975376828880146","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"10","2","512","4","1","gemv-only","fused","0.0003249","4.06125E-05","406.125","81089.875","true","8388608","25819045860.2647","output","output checksum; GEMV output is deterministic and state remains frozen","4248865521692537765","4248865521692537765","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"10","3","512","4","1","transition-only","fused","0.001051","0.000131375","1313.75","262252.625","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","17544176442612759010","17544176442612759010","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"1","1","512","8","1","transition-only","fused","0.0004198","5.2475E-05","524.75","104790","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","14302777025956857287","14302777025956857287","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"1","2","512","8","1","gemv-only","fused","0.0020415","0.0002551875","2551.875","509420.375","true","16777216","8218082782.26794","output","output checksum; GEMV output is deterministic and state remains frozen","10291565644549863803","10291565644549863803","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"1","3","512","8","1","full","fused","0.0022088","0.0002761","2761","551192.5","true","16777216","7595624773.63274","state","state checksum; actual GEMV followed by apply_transition","3842179408685066247","3842179408685066247","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"2","1","512","8","1","full","fused","0.0021867","0.0002733375","2733.375","545655","true","16777216","7672390359.90305","state","state checksum; actual GEMV followed by apply_transition","3842179408685066247","3842179408685066247","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"2","2","512","8","1","gemv-only","fused","0.0021402","0.000267525","2675.25","534057.5","true","16777216","7839087935.70694","output","output checksum; GEMV output is deterministic and state remains frozen","10291565644549863803","10291565644549863803","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"2","3","512","8","1","transition-only","fused","0.0003402","4.2525E-05","425.25","84840.125","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","14302777025956857287","14302777025956857287","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"3","1","512","8","1","transition-only","fused","0.0003248","4.06E-05","406","81025","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","14302777025956857287","14302777025956857287","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"3","2","512","8","1","gemv-only","fused","0.0018626","0.000232825","2328.25","464819.875","true","16777216","9007417588.31741","output","output checksum; GEMV output is deterministic and state remains frozen","10291565644549863803","10291565644549863803","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"3","3","512","8","1","full","fused","0.0022069","0.0002758625","2758.625","550692.375","true","16777216","7602164121.61856","state","state checksum; actual GEMV followed by apply_transition","3842179408685066247","3842179408685066247","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"4","1","512","8","1","full","fused","0.0313735","0.0039216875","39216.875","7828685","true","16777216","534757550.161761","state","state checksum; actual GEMV followed by apply_transition","3842179408685066247","3842179408685066247","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"4","2","512","8","1","gemv-only","fused","0.0138781","0.0017347625","17347.625","3463017.625","true","16777216","1208898624.45147","output","output checksum; GEMV output is deterministic and state remains frozen","10291565644549863803","10291565644549863803","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"4","3","512","8","1","transition-only","fused","0.0006481","8.10125E-05","810.125","161702.5","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","14302777025956857287","14302777025956857287","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"5","1","512","8","1","transition-only","fused","0.0020137","0.0002517125","2517.125","502514.875","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","14302777025956857287","14302777025956857287","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"5","2","512","8","1","gemv-only","fused","0.0017628","0.00022035","2203.5","439899.875","true","16777216","9517367823.9165","output","output checksum; GEMV output is deterministic and state remains frozen","10291565644549863803","10291565644549863803","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"5","3","512","8","1","full","fused","0.0026786","0.000334825","3348.25","668382.75","true","16777216","6263427163.44359","state","state checksum; actual GEMV followed by apply_transition","3842179408685066247","3842179408685066247","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"6","1","512","8","1","full","fused","0.0027093","0.0003386625","3386.625","676074.875","true","16777216","6192454139.44561","state","state checksum; actual GEMV followed by apply_transition","3842179408685066247","3842179408685066247","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"6","2","512","8","1","gemv-only","fused","0.0018683","0.0002335375","2335.375","466160","true","16777216","8979936840.97843","output","output checksum; GEMV output is deterministic and state remains frozen","10291565644549863803","10291565644549863803","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"6","3","512","8","1","transition-only","fused","0.0004965","6.20625E-05","620.625","123877.625","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","14302777025956857287","14302777025956857287","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"7","1","512","8","1","transition-only","fused","0.0003481","4.35125E-05","435.125","86892.375","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","14302777025956857287","14302777025956857287","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"7","2","512","8","1","gemv-only","fused","0.0019619","0.0002452375","2452.375","489585","true","16777216","8551514348.3358","output","output checksum; GEMV output is deterministic and state remains frozen","10291565644549863803","10291565644549863803","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"7","3","512","8","1","full","fused","0.0028336","0.0003542","3542","707082.375","true","16777216","5920813099.94353","state","state checksum; actual GEMV followed by apply_transition","3842179408685066247","3842179408685066247","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"8","1","512","8","1","full","fused","0.0027888","0.0003486","3486","695882.625","true","16777216","6015926563.39644","state","state checksum; actual GEMV followed by apply_transition","3842179408685066247","3842179408685066247","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"8","2","512","8","1","gemv-only","fused","0.0012654","0.000158175","1581.75","315762.75","true","16777216","13258428955.2711","output","output checksum; GEMV output is deterministic and state remains frozen","10291565644549863803","10291565644549863803","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"8","3","512","8","1","transition-only","fused","0.0009126","0.000114075","1140.75","227710","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","14302777025956857287","14302777025956857287","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"9","1","512","8","1","transition-only","fused","0.0004968","6.21E-05","621","123980","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","14302777025956857287","14302777025956857287","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"9","2","512","8","1","gemv-only","fused","0.0026187","0.0003273375","3273.375","653425.625","true","16777216","6406696452.43823","output","output checksum; GEMV output is deterministic and state remains frozen","10291565644549863803","10291565644549863803","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"9","3","512","8","1","full","fused","0.0023267","0.0002908375","2908.375","580610","true","16777216","7210734516.69747","state","state checksum; actual GEMV followed by apply_transition","3842179408685066247","3842179408685066247","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"10","1","512","8","1","full","fused","0.0032146","0.000401825","4018.25","802162.75","true","16777216","5219068002.23978","state","state checksum; actual GEMV followed by apply_transition","3842179408685066247","3842179408685066247","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"10","2","512","8","1","gemv-only","fused","0.0016734","0.000209175","2091.75","417560.125","true","16777216","10025825265.9257","output","output checksum; GEMV output is deterministic and state remains frozen","10291565644549863803","10291565644549863803","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"10","3","512","8","1","transition-only","fused","0.0003121","3.90125E-05","390.125","77877.5","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","14302777025956857287","14302777025956857287","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"1","1","512","16","1","transition-only","fused","0.0006629","8.28625E-05","828.625","165415","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","15721343852480694635","15721343852480694635","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"1","2","512","16","1","gemv-only","fused","0.0055589","0.0006948625","6948.625","1387152.375","true","33554432","6036163989.27845","output","output checksum; GEMV output is deterministic and state remains frozen","990135718269287460","990135718269287460","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"1","3","512","16","1","full","fused","0.0089422","0.001117775","11177.75","2231379.75","true","33554432","3752368768.31205","state","state checksum; actual GEMV followed by apply_transition","3144505421455985126","3144505421455985126","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"2","1","512","16","1","full","fused","0.0089908","0.00112385","11238.5","2243457.25","true","33554432","3732085242.69253","state","state checksum; actual GEMV followed by apply_transition","3144505421455985126","3144505421455985126","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"2","2","512","16","1","gemv-only","fused","0.0048424","0.0006053","6053","1208352.125","true","33554432","6929297868.82538","output","output checksum; GEMV output is deterministic and state remains frozen","990135718269287460","990135718269287460","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"2","3","512","16","1","transition-only","fused","0.0006213","7.76625E-05","776.625","155052.25","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","15721343852480694635","15721343852480694635","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"3","1","512","16","1","transition-only","fused","0.0006378","7.9725E-05","797.25","159131.875","true","0","0","state","state checksum; apply_transition uses deterministic synthetic output","15721343852480694635","15721343852480694635","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"3","2","512","16","1","gemv-only","fused","0.0077472","0.0009684","9684","1933180","true","33554432","4331168938.45518","output","output checksum; GEMV output is deterministic and state remains frozen","990135718269287460","990135718269287460","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"3","3","512","16","1","full","fused","0.0078428","0.00098035","9803.5","1956997.625","true","33554432","4278374050.08415","state","state checksum; actual GEMV followed by apply_transition","3144505421455985126","3144505421455985126","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"4","1","512","16","1","full","fused","0.0061677","0.0007709625","7709.625","1539032.5","true","33554432","5440347617.42627","state","state checksum; actual GEMV followed by apply_transition","3144505421455985126","3144505421455985126","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"4","2","512","16","1","gemv-only","fused","0.0052513","0.0006564125","6564.125","1310384.875","true","33554432","6389738160.07465","output","output checksum; GEMV output is deterministic and state remains frozen","990135718269287460","990135718269287460","true","false","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
