"invocation","target_kib","repeat","variant","rows_per_worker","D","S","R","mode","S_tile","iterations","timed_repetitions","warmup","worker_count","worker_list","affinity_succeeded","affinity","affinity_error","timed_repetitions_exact","avx2_supported","kernel_used","mac_total","elapsed_seconds","mac_per_second","checksum","eviction_bytes","eviction_checksum","correction_evidence","four_worker_affinity","exact_repetitions"
"11","512","6","B","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0173906","1.54357e+10","18446744073530809057","0","0","true","true","true"
"12","512","6","A","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.009725","2.76026e+10","81541731","0","0","true","true","true"
"13","512","7","A","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0115176","2.33065e+10","81541731","0","0","true","true","true"
"14","512","7","B","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0176779","1.51848e+10","18446744073530809057","0","0","true","true","true"
"15","512","8","B","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0181463","1.47928e+10","18446744073530809057","0","0","true","true","true"
"16","512","8","A","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0099534","2.69692e+10","81541731","0","0","true","true","true"
"17","512","9","A","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.010405","2.57987e+10","81541731","0","0","true","true","true"
"18","512","9","B","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0713904","3.76011e+09","18446744073530809057","0","0","true","true","true"
"19","512","10","B","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.0176775","1.51851e+10","18446744073530809057","0","0","true","true","true"
"20","512","10","A","1211,1136,683,1066","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","268435456","0.016096","1.66772e+10","81541731","0","0","true","true","true"
"21","768","1","A","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.0141462","2.84637e+10","18446744073656903484","0","0","true","true","true"
"22","768","1","B","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.0265914","1.51422e+10","18446744072675525801","0","0","true","true","true"
"23","768","2","B","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.024041","1.67486e+10","18446744072675525801","0","0","true","true","true"
"24","768","2","A","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.0141845","2.83868e+10","18446744073656903484","0","0","true","true","true"
"25","768","3","A","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.014704","2.73839e+10","18446744073656903484","0","0","true","true","true"
"26","768","3","B","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.0250154","1.60962e+10","18446744072675525801","0","0","true","true","true"
"27","768","4","B","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.0253613","1.58767e+10","18446744072675525801","0","0","true","true","true"
"28","768","4","A","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.0166224","2.42235e+10","18446744073656903484","0","0","true","true","true"
"29","768","5","A","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.0163763","2.45876e+10","18446744073656903484","0","0","true","true","true"
"30","768","5","B","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.0246656","1.63245e+10","18446744072675525801","0","0","true","true","true"
"31","768","6","B","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.0368304","1.09326e+10","18446744072675525801","0","0","true","true","true"
"32","768","6","A","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.0148908","2.70404e+10","18446744073656903484","0","0","true","true","true"
"33","768","7","A","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.0153097","2.63005e+10","18446744073656903484","0","0","true","true","true"
"34","768","7","B","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.0247447","1.62723e+10","18446744072675525801","0","0","true","true","true"
"35","768","8","B","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.0254329","1.5832e+10","18446744072675525801","0","0","true","true","true"
"36","768","8","A","1816,1705,1023,1600","512","1","16","fused","8","1","8","2","4","0,2,4,6","true","true,true,true,true","0,0,0,0","true","true","avx2","402653184","0.019183","2.09901e+10","18446744073656903484","0","0","true","true","true"
