project_version,gate,D,S,R,total_rows,kernel,variant,transition,timing_scope,slot_tile,seed,phase_profile,require_affinity,projection_shift,state_multiplier,output_multiplier,final_shift,target_rms,epsilon,warmup_repetitions,timed_repetitions,sequences_per_repetition,worker_count,allow_smt_siblings,cpus,physical_cores,rows,base_weight_bytes,allocated_weight_bytes,logical_weight_load_bytes,one_pass_weight_bytes,distinct_weight_storage_bytes,elapsed_seconds,mac_total,mac_per_second,logical_weight_load_gb_per_second,one_pass_weight_gb_per_second,output_checksum,state_checksum,round_sink,weight_hash_signature,clone_hashes_equal,clone_addresses_distinct,all_affinity_succeeded,clipped_cells,transition_cells,worker_compute_seconds,worker_transition_seconds,worker_sync_seconds,worker_cold_seconds,worker_affinity_errors,valid,error,batch_repeat,variant_order
0.4.1,t0m,1472,16,8,1472,avx2-repeat,shared,frozen,full-repetition,4,3221342974,false,true,12,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,2166784,1109393408,69337088,2166784,0.0078311000000000006,1109393408,141665080001.53235,141.66508000153235,8.8540675000957716,3440678550481229109,151263660427993466,13801644200311732869,11255046554403909569,false,false,true,0,0,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",1,21
0.4.1,t0m,1472,16,8,1472,avx2-fused,shared,frozen,full-repetition,4,3221342974,false,true,12,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,2166784,277348352,69337088,2166784,0.0052272999999999998,1109393408,212230675109.52118,53.057668777380293,13.264417194345073,3440678550481229109,151263660427993466,13801644200311732869,11255046554403909569,false,false,true,0,0,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",1,22
0.4.1,t0m,1472,16,8,1472,avx2-repeat,clone,frozen,full-repetition,4,3221342974,false,true,12,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,17334272,1109393408,69337088,17334272,0.0097561000000000002,1109393408,113712795891.80103,113.71279589180102,7.1070497432375639,3440678550481229109,151263660427993466,13801644200311732869,11255046554403909569,true,true,true,0,0,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",1,23
0.4.1,t0m,1472,16,8,1472,avx2-fused,clone,frozen,full-repetition,4,3221342974,false,true,12,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,17334272,277348352,69337088,17334272,0.0088748000000000004,1109393408,125004891152.47667,31.251222788119168,7.8128056970297921,3440678550481229109,151263660427993466,13801644200311732869,11255046554403909569,true,true,true,0,0,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",1,24
0.4.1,t0rm,1472,16,8,1472,avx2-fused,shared,fixed-point,full-repetition,4,3221342974,false,true,14,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,2166784,277348352,69337088,2166784,0.0049116999999999997,1109393408,225867501679.66287,56.466875419915716,14.116718854978929,2744236483065453218,12426728992559062094,16644558779145830308,11255046554403909569,false,false,true,12,753664,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",1,25
0.4.1,t0rm,1472,16,8,1472,avx2-fused,clone,fixed-point,full-repetition,4,3221342974,false,true,14,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,17334272,277348352,69337088,17334272,0.0064457999999999998,1109393408,172111050296.31699,43.027762574079247,10.756940643519812,2744236483065453218,12426728992559062094,16644558779145830308,11255046554403909569,true,true,true,12,753664,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",1,26
0.4.1,t0rm,1472,16,8,1472,avx2-fused,shared,group-rms,full-repetition,4,3221342974,false,true,12,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,2166784,277348352,69337088,2166784,0.0059946000000000001,1109393408,185065460247.55612,46.266365061889033,11.566591265472258,3795883114532833034,953266389936549877,17068663397166442437,11255046554403909569,false,false,true,32,753664,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",1,27
0.4.1,t0rm,1472,16,8,1472,avx2-fused,clone,group-rms,full-repetition,4,3221342974,false,true,12,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,17334272,277348352,69337088,17334272,0.0065550000000000001,1109393408,169243845614.0351,42.310961403508777,10.577740350877194,3795883114532833034,953266389936549877,17068663397166442437,11255046554403909569,true,true,true,32,753664,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",1,28
0.4.1,t0rm,1472,16,8,1472,avx2-fused,shared,global-rms,full-repetition,4,3221342974,false,true,12,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,2166784,277348352,69337088,2166784,0.0066369999999999997,1109393408,167152841343.98071,41.788210335995181,10.447052583998795,4551739745890589895,16187460718299757442,5608768040300185633,11255046554403909569,false,false,true,32,753664,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",1,29
0.4.1,t0rm,1472,16,8,1472,avx2-fused,clone,global-rms,full-repetition,4,3221342974,false,true,12,1,1,0,32,9.9999999999999995e-07,2,4,1,4,false,"0;2;4;6","0;1;2;3","449;318;353;352",2166784,17334272,277348352,69337088,17334272,0.0062836999999999997,1109393408,176550982382.99094,44.137745595747731,11.034436398936933,4551739745890589895,16187460718299757442,5608768040300185633,11255046554403909569,true,true,true,32,753664,"0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0",true,"",1,30
