"metric","native_mode","D","S","R","rows_per_worker","n","median","min","max","population_sd","checksum","checksum_deterministic","checksum_values","elapsed_median_seconds","mac_total","mac_per_second_median","all_rounds_valid","timed_repetitions","warmup","worker_count","cpus"
"F(S)","repeat","512","8","8","128,128,128,128","10","4685770694.26629","1554444440.58394","5479348117.18214","1347030878.7812","15867929085574564979","True","15867929085574564979","0.02868255","134217728","4685770694.26629","True","8","2","4","0,2,4,6"
"G(S)","fused","512","8","16","128,128,128,128","10","2679950544.5782","1742648319.77398","3686626701.44053","524860956.18465","1082386642973797661","True","1082386642973797661","0.1001647","268435456","2679950544.5782","True","8","2","4","0,2,4,6"
"F(S)","repeat","512","8","16","128,128,128,128","10","2762640446.69803","1893986441.86427","4916310250.72801","936529632.799908","1082386642973797661","True","1082386642973797661","0.0971678","268435456","2762640446.69803","True","8","2","4","0,2,4,6"
"G(S)","fused","512","16","1","128,128,128,128","10","5601875534.73399","4135731699.80156","6269864155.31513","730209694.733583","3144505421455985126","True","3144505421455985126","0.0059916","33554432","5601875534.73399","True","8","2","4","0,2,4,6"
"F(S)","repeat","512","16","1","128,128,128,128","10","5557264846.65906","1231617445.18099","5971814622.33929","1730602443.64853","3144505421455985126","True","3144505421455985126","0.00603795","33554432","5557264846.65906","True","8","2","4","0,2,4,6"
"G(S)","fused","512","16","2","128,128,128,128","10","5256986876.78712","762561732.638672","5874632468.15774","1705315072.79349","11696465265078938627","True","11696465265078938627","0.01276615","67108864","5256986876.78712","True","8","2","4","0,2,4,6"
"F(S)","repeat","512","16","2","128,128,128,128","10","5424442888.08734","1302098682.55108","5669845979.67236","1596979956.66734","11696465265078938627","True","11696465265078938627","0.0123716","67108864","5424442888.08734","True","8","2","4","0,2,4,6"
"G(S)","fused","512","16","4","128,128,128,128","10","5375394498.42078","1863907300.21886","5810744040.66118","1456946768.65951","6096183207485726223","True","6096183207485726223","0.02496905","134217728","5375394498.42078","True","8","2","4","0,2,4,6"
"F(S)","repeat","512","16","4","128,128,128,128","10","3669357114.80151","1984832206.22966","5485282340.29597","1140131651.22472","6096183207485726223","True","6096183207485726223","0.03734735","134217728","3669357114.80151","True","8","2","4","0,2,4,6"
"G(S)","fused","512","16","8","128,128,128,128","10","5062131413.92944","3217805588.22084","5399909798.81757","750784583.888337","11436827120084176368","True","11436827120084176368","0.0530284","268435456","5062131413.92944","True","8","2","4","0,2,4,6"
"F(S)","repeat","512","16","8","128,128,128,128","10","4029298728.84373","2444141854.40702","5304775960.12853","1013485351.8091","11436827120084176368","True","11436827120084176368","0.06662625","268435456","4029298728.84373","True","8","2","4","0,2,4,6"
"G(S)","fused","512","16","16","128,128,128,128","10","4930099883.76199","4049062850.23011","5369702514.96527","352071596.223105","16807407504156841981","True","16807407504156841981","0.10890965","536870912","4930099883.76199","True","8","2","4","0,2,4,6"
"F(S)","repeat","512","16","16","128,128,128,128","10","4784519489.91195","3535688162.93629","5304063197.74587","632136283.253443","16807407504156841981","True","16807407504156841981","0.11223705","536870912","4784519489.91195","True","8","2","4","0,2,4,6"
