"run","order_index","metric","native_mode","D","S","R","rows_per_worker","mode","kernel","elapsed_seconds","mac_total","mac_per_second","final_checksum","per_round_checksums","per_round_finite","per_round_overflow","per_round_clipped_cells","per_round_clipping_rates","clipped_cells","clipping_rate","all_rounds_valid","worker_count","cpus","affinity","affinity_errors","affinity_succeeded","timed_repetitions","warmup","timed_repetitions_exact"
"9","1","F(S)","repeat","512","1","2","128,128,128,128","repeat","avx2_repeat","0.000991","4194304","4232395560.04036","13175200098663782325","5156533420041995800;13175200098663782325","true;true","false;false","0;0","0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"9","2","G(S)","fused","512","1","2","128,128,128,128","fused","avx2_fused","0.0004876","4194304","8601936013.12551","13175200098663782325","5156533420041995800;13175200098663782325","true;true","false;false","0;0","0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"10","1","G(S)","fused","512","1","2","128,128,128,128","fused","avx2_fused","0.0007307","4194304","5740117695.36061","13175200098663782325","5156533420041995800;13175200098663782325","true;true","false;false","0;0","0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"10","2","F(S)","repeat","512","1","2","128,128,128,128","repeat","avx2_repeat","0.0008613","4194304","4869736444.90886","13175200098663782325","5156533420041995800;13175200098663782325","true;true","false;false","0;0","0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"1","1","F(S)","repeat","512","1","4","128,128,128,128","repeat","avx2_repeat","0.0007243","8388608","11581676101.0631","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"1","2","G(S)","fused","512","1","4","128,128,128,128","fused","avx2_fused","0.0007987","8388608","10502827094.0278","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"2","1","G(S)","fused","512","1","4","128,128,128,128","fused","avx2_fused","0.0025331","8388608","3311597647.15171","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"2","2","F(S)","repeat","512","1","4","128,128,128,128","repeat","avx2_repeat","0.0035337","8388608","2373887992.75547","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"3","1","F(S)","repeat","512","1","4","128,128,128,128","repeat","avx2_repeat","0.0007263","8388608","11549783835.8805","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"3","2","G(S)","fused","512","1","4","128,128,128,128","fused","avx2_fused","0.0019745","8388608","4248472018.23246","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"4","1","G(S)","fused","512","1","4","128,128,128,128","fused","avx2_fused","0.0011063","8388608","7582579770.40586","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
"4","2","F(S)","repeat","512","1","4","128,128,128,128","repeat","avx2_repeat","0.0019867","8388608","4222382845.9254","13977311238581039400","5156533420041995800;13175200098663782325;4549353948644942164;13977311238581039400","true;true;true;true","false;false;false;false","0;0;0;0","0;0;0;0","0","0","true","4","0,2,4,6","1,1,1,1","0,0,0,0","true","8","2","true"
